TIMESTAMP | LEVEL | TYPE | APPLICATION | DETAILS
2025-06-01 20:29:31.794 | HIGH | EXCESSIVE_DENIES | HTTPS | Application 'HTTPS' has 8 denied requests in the last 60 seconds.
2025-06-01 20:29:31.803 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 20 denied requests in the last 60 seconds.
2025-06-01 20:29:31.807 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 21 denied requests in the last 60 seconds.
2025-06-01 20:29:31.976 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 22 denied requests in the last 60 seconds.
2025-06-01 20:29:31.976 | HIGH | EXCESSIVE_DENIES | HTTPS | Application 'HTTPS' has 9 denied requests in the last 60 seconds.
2025-06-01 20:29:40.880 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 23 denied requests in the last 60 seconds.
2025-06-01 20:29:40.886 | HIGH | EXCESSIVE_DENIES | HTTP | Application 'HTTP' has 19 denied requests in the last 60 seconds.
2025-06-01 20:29:40.895 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 24 denied requests in the last 60 seconds.
2025-06-01 20:29:40.904 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 25 denied requests in the last 60 seconds.
2025-06-01 20:29:40.907 | HIGH | EXCESSIVE_DENIES | HTTP | Application 'HTTP' has 20 denied requests in the last 60 seconds.
2025-06-01 20:29:40.909 | HIGH | EXCESSIVE_DENIES | HTTP | Application 'HTTP' has 21 denied requests in the last 60 seconds.
